GRANDMOTHER = http://files.startasl.com/asldictionary/grandmother.mp4 
GRANDSON = http://files.startasl.com/asldictionary/grand-son.mp4
GRANDSON (2) = http://files.startasl.com/asldictionary/grand-son-2.mp4 
HUSBAND = http://files.startasl.com/asldictionary/husband.mp4
MARRY = http://files.startasl.com/asldictionary/marry.mp4 
MOTHER = http://files.startasl.com/asldictionary/mother.mp4
NEPHEW = http://files.startasl.com/asldictionary/nephew.mp4 
NIECE = http://files.startasl.com/asldictionary/neice.mp4
ROOMMATE = http://files.startasl.com/asldictionary/roommate.mp4 
SIBLINGS = http://files.startasl.com/asldictionary/siblings.mp4
SINGLE = http://files.startasl.com/asldictionary/single-alone.mp4 
SISTER = http://files.startasl.com/asldictionary/sister.mp4
SON = http://files.startasl.com/asldictionary/son.mp4 
SWEETHEART = http://files.startasl.com/asldictionary/sweetheart.mp4
UNCLE = http://files.startasl.com/asldictionary/uncle.mp4 
WIFE = http://files.startasl.com/asldictionary/wife.mp4
APPLE =  http://files.startasl.com/asldictionary/apple.mp4
APPLE (2) = http://files.startasl.com/asldictionary/apple.mp4 
BACON = http://files.startasl.com/asldictionary/bacon.mp4 
BANANA = http://files.startasl.com/asldictionary/banana.mp4
BITTER = http://files.startasl.com/asldictionary/bitter.mp4 
BREAD = http://files.startasl.com/asldictionary/bread.mp4
BREAKFAST = http://files.startasl.com/asldictionary/breakfast.mp4 
BUTTER = http://files.startasl.com/asldictionary/butter.mp4
CANDY = http://files.startasl.com/asldictionary/candy.mp4 
CARROT = http://files.startasl.com/asldictionary/carrot.mp4
CHEESE = http://files.startasl.com/asldictionary/cheese.mp4 
CHERRY = http://files.startasl.com/asldictionary/cherry.mp4
CHICKEN = http://files.startasl.com/asldictionary/chicken.mp4 
COFFEE = http://files.startasl.com/asldictionary/coffee.mp4
COKE (Coca Cola) = http://files.startasl.com/asldictionary/coke-2.mp4 
COOK = http://files.startasl.com/asldictionary/cook.mp4
COOKIE = http://files.startasl.com/asldictionary/cookie.mp4 
DELICIOUS = http://files.startasl.com/asldictionary/delicious.mp4
DINNER = http://files.startasl.com/asldictionary/dinner.mp4 
DRINK = http://files.startasl.com/asldictionary/drink.mp4
EAT = http://files.startasl.com/asldictionary/eat.mp4 
EGGS = http://files.startasl.com/asldictionary/eggs.mp4
FISH = http://files.startasl.com/asldictionary/fish.mp4 
FOOD = http://files.startasl.com/asldictionary/food.mp4
FRUIT = http://files.startasl.com/asldictionary/fruit.mp4 
GRAPES = http://files.startasl.com/asldictionary/grapes.mp4
GREEN BEANS = http://files.startasl.com/asldictionary/green-beans.mp4 
GROSS = http://files.startasl.com/asldictionary/gross.mp4
HAMBURGER = http://files.startasl.com/asldictionary/hamburger.mp4 
HOTDOG = http://files.startasl.com/asldictionary/hotdog.mp4
ICE CREAM = http://files.startasl.com/asldictionary/ice-cream.mp4 
JAM = http://files.startasl.com/asldictionary/jam.mp4
KETCHUP = http://files.startasl.com/asldictionary/ketchup.mp4 
LEMON = http://files.startasl.com/asldictionary/lemon.mp4
LETTUCE = http://files.startasl.com/asldictionary/lettuce.mp4 
LUNCH = http://files.startasl.com/asldictionary/lunch.mp4
MEAT = http://files.startasl.com/asldictionary/meat.mp4 
MILK = http://files.startasl.com/asldictionary/milk.mp4
MUSHROOM = http://files.startasl.com/asldictionary/mushroom.mp4 
NUTS = http://files.startasl.com/asldictionary/nuts.mp4
ONION = http://files.startasl.com/asldictionary/onion.mp4 
PEACH = http://files.startasl.com/asldictionary/peach.mp4
PEPPER = http://files.startasl.com/asldictionary/pepper.mp4 
PINEAPPLE = http://files.startasl.com/asldictionary/pineapple.mp4
PINEAPPLE (2) = http://files.startasl.com/asldictionary/pineapple2.mp4 
PINEAPPLE (3) = http://files.startasl.com/asldictionary/pineapple3.mp4
PIZZA = http://files.startasl.com/asldictionary/pizza.mp4 
PIZZA (2) = http://files.startasl.com/asldictionary/pizza-2.mp4
POTATO = http://files.startasl.com/asldictionary/potato.mp4 
SALT = http://files.startasl.com/asldictionary/salt.mp4
SANDWICH = http://files.startasl.com/asldictionary/sandwich.mp4 
SODA-POP = http://files.startasl.com/asldictionary/soda-pop.mp4
STRAWBERRIES = http://files.startasl.com/asldictionary/strawberry.mp4 
SUGAR = http://files.startasl.com/asldictionary/sugar.mp4
SWEET = http://files.startasl.com/asldictionary/sweet.mp4 
TEA = http://files.startasl.com/asldictionary/tea.mp4
TOMATO = http://files.startasl.com/asldictionary/tomato.mp4 
TURKEY = http://files.startasl.com/asldictionary/turkey.mp4
VEGETABLES = http://files.startasl.com/asldictionary/vegetables.mp4 
WATER = http://files.startasl.com/asldictionary/water.mp4
WATERMELON = http://files.startasl.com/asldictionary/watermelon.mp4 
APARTMENT = http://files.startasl.com/asldictionary/apartment.mp4
BATHROOM = http://files.startasl.com/asldictionary/bathroom.mp4
BEDROOM = http://files.startasl.com/asldictionary/bedroom.mp4
BICYCLE = http://files.startasl.com/asldictionary/bicycle.mp4 
BUY = http://files.startasl.com/asldictionary/buy.mp4
CAR = http://files.startasl.com/asldictionary/car.mp4 
CLEAN = http://files.startasl.com/asldictionary/clean.mp4
DINING ROOM = http://files.startasl.com/asldictionary/dining-room.mp4 
DOOR = http://files.startasl.com/asldictionary/door.mp4
FAMILY ROOM = http://files.startasl.com/asldictionary/family-room.mp4 
GARAGE = http://files.startasl.com/asldictionary/garage.mp4
GO-IN/ENTER = http://files.startasl.com/asldictionary/go-enter.mp4 
HOME = http://files.startasl.com/asldictionary/home.mp4
HOUSE = http://files.startasl.com/asldictionary/house.mp4 
KITCHEN = http://files.startasl.com/asldictionary/kitchen.mp4
LIVING ROOM = http://files.startasl.com/asldictionary/living-room.mp4 
ROOM = http://files.startasl.com/asldictionary/room.mp4
SHOWER = http://files.startasl.com/asldictionary/shower.mp4 
SOFA = http://files.startasl.com/asldictionary/sofa.mp4
TELEPHONE = http://files.startasl.com/asldictionary/telephone.mp4 
TOILET = http://files.startasl.com/asldictionary/toilet.mp4
WALK = http://files.startasl.com/asldictionary/walk.mp4 
ASK-you = http://files.startasl.com/asldictionary/ask-you.mp4
BOY = http://files.startasl.com/asldictionary/boy.mp4
DEAF = http://files.startasl.com/asldictionary/deaf.mp4
GIRL = http://files.startasl.com/asldictionary/girl.mp4 
GIVE-you = http://files.startasl.com/asldictionary/give-you.mp4
HEARING = http://files.startasl.com/asldictionary/hearing.mp4 
I/ME = http://files.startasl.com/asldictionary/me.mp4
MAN = http://files.startasl.com/asldictionary/man.mp4 
MAN (2) = http://files.startasl.com/asldictionary/man2.mp4
MY/MINE = http://files.startasl.com/asldictionary/my.mp4 
WOMAN = http://files.startasl.com/asldictionary/woman.mp4
WOMAN (2) = http://files.startasl.com/asldictionary/woman2.mp4 
WORK = http://files.startasl.com/asldictionary/work.mp4
YOU = http://files.startasl.com/asldictionary/you.mp4 
YOUR = http://files.startasl.com/asldictionary/your.mp4
HOW =  http://files.startasl.com/asldictionary/how.mp4
HOW (2) = http://files.startasl.com/asldictionary/how2.mp4 
WHAT = http://files.startasl.com/asldictionary/what.mp4 
WHEN = http://files.startasl.com/asldictionary/when.mp4
WHERE = http://files.startasl.com/asldictionary/where.mp4 
WHO = http://files.startasl.com/asldictionary/who.mp4
WHY = http://files.startasl.com/asldictionary/why.mp4 
ASL = http://files.startasl.com/asldictionary/asl.mp4
BOOK = http://files.startasl.com/asldictionary/book.mp4
BUS = http://files.startasl.com/asldictionary/bus.mp4
BUS (2) = http://files.startasl.com/asldictionary/bus2.mp4 
CLASS = http://files.startasl.com/asldictionary/class.mp4
CLASSROOM = http://files.startasl.com/asldictionary/classroom.mp4 
COLLEGE = http://files.startasl.com/asldictionary/college.mp4
DORM = http://files.startasl.com/asldictionary/dorm.mp4 
DRAW = http://files.startasl.com/asldictionary/draw.mp4
ELEMENTARY = http://files.startasl.com/asldictionary/elementary-school.mp4                                                
ENGLISH = http://files.startasl.com/asldictionary/english.mp4
HIGH-SCHOOL = http://files.startasl.com/asldictionary/highschool.mp4 
HISTORY = http://files.startasl.com/asldictionary/history.mp4
JUNIOR-HIGH-SCHOOL = http://files.startasl.com/asldictionary/junior-high-school.mp4        
KNOW = http://files.startasl.com/asldictionary/know.mp4
LEARN = http://files.startasl.com/asldictionary/learn.mp4 
MATH = http://files.startasl.com/asldictionary/math.mp4
MIDDLE SCHOOL = http://files.startasl.com/asldictionary/middle-school.mp4                                                     
PAPER = http://files.startasl.com/asldictionary/paper.mp4
PLAY = http://files.startasl.com/asldictionary/play.mp4 
READ = http://files.startasl.com/asldictionary/read.mp4
SCHOOL = http://files.startasl.com/asldictionary/school.mp4 
SCIENCE = http://files.startasl.com/asldictionary/science.mp4
SENTENCE = http://files.startasl.com/asldictionary/sentence.mp4 
SIGN = http://files.startasl.com/asldictionary/sign.mp4
